 Blood Bank Name, State, District, Address,Pincode, Mobile, Email, Website, Category, Blood Component Available, Latitude, Longitude
Padmavathi Day & Night Blood Bank,Andhra Pradesh,GUNTUR,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",522001,,,,Private,YES,0,0
M/s. Needs Blood Bank ,Andhra Pradesh,GUNTUR,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",522001,9246448899,needsbloodbankguntur@gmail.com,,Charity,YES,16.29882,80.448888
M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,GUNTUR,"4th Floor, Behind Sivalayam Temple, Kothapeta
",522001,,,,Private,YES,0,0
Saint Joseph General Hospital Blood Bank,Andhra Pradesh,GUNTUR,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",522001,9493819977,NA,,Charity,NO,16.297514,80.440648
NTR Memorial Trust Blood Bank,Andhra Pradesh,GUNTUR,"Door No. 13-2-87, 1st Line G. V. Thota",522001,,,,Charity,YES,0,0
Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,GUNTUR,"Katuri Nagar, Chinakondrupadu, Guntur
",522019,NA,katuribloodbank@gmail.com,,Private,YES,16.227872,80.30947
NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,GUNTUR,"Mangalagiri Mandalam, Chinakakani, Guntur
",522503,"09849989813, 09849989843",NA,,Private,YES,16.413675,80.555675
Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,"Soumyanagar, Tadepalli, Guntur",522501,NA,NA,http://www.manipalhospital.org,Private,YES,16.484433,80.617219
Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,GUNTUR,"Area Hospital, Narasaraopeta ",522601,"09885222155, 09885838866",nrtbloodbankircs@gmail.com,,Charity,NO,16.235919,80.048412
NRT Blood Bank,Andhra Pradesh,GUNTUR,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",522601,9985148884,nrtbioodbank@gmail.com,,Private,YES,16.193331,80.019956
Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,GUNTUR,"Gaganamma Temple, Piduguralla
",522413,9849212042,NA,,Private,YES,16.478789,79.893642
Red Cross Blood Bank,Andhra Pradesh,GUNTUR," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",522265,9177883353,rplredcrossbb@gmail.com,,Charity,NO,16.017425,80.829475
Area Hospital (Repeated),Andhra Pradesh,GUNTUR,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",522201,9866686760,tenalibloodbank@gmail.com,,,,16.239531,80.64934
APVVP District Hospital Blood Bank,Andhra Pradesh,GUNTUR,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",522202,,,,Government,YES,0,0
Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",522201,9247155622,maruthi_nagalingam@yahoo.com,,,Private,NO,16.243428,80.646397
Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",522201,9849833321,,NA,,Private,NO,16.251179,80.64934
Area Hospital Blood Bank,Andhra Pradesh,KRISHNA,Gudivada,521301,7799990904,areahospital.gudivada@gmail.com,,Government,NO,16.349045,81.049715
Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,KRISHNA,"DM & HO Campus, Machilipatnam",521001,NA,drprcbloodbankmtm@gmail.com,,Charity,NO,16.190546,81.136154
Government General Hospital (Repeated),Andhra Pradesh,KRISHNA,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",520007,8662452244,gghbbvij@gmail.com,,,,16.513339,80.618989
Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHNA,Machilipatnam,521001,,dhmtmbb@gmail.com,,Government,NO,16.176867,81.138647
Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHNA,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",520003,9848124977,redcrosskrishna@gmail.com,,Charity,YES,16.506174,80.648015
Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",520002,9392120187,vijayasribloodbankvja @gmail.com,,Charity,YES,16.51304,80.635644
Lions Blood Bank,Andhra Pradesh,KRISHNA,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",520002,NA,lionsbloodbank@yahoo.com,,Charity,NO,16.506174,80.648015
University General Hospital Blood Bank,Andhra Pradesh,KRISHNA,"Ring Road, Gunadala, Vijayawada",520 008,NA,gghbbvij@gmail.com,,,Government,NO,16.516111,80.670085
M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHNA,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",520010,9246289777,NA,,Charity,YES,16.498839,80.655488
Nagarjuna Hospital Blood Bank,Andhra Pradesh,KRISHNA,"Kanuru, Vijayawada",,9848141550,,,Private,NO,0,0
Saint Ann&#39,s Hospital Blood Bank  ,Andhra Pradesh,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2
",0866 2572057,NA,annshospitall@gmail.com,MBBS,Private,31.12.2017,0,0
Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,KRISHNA,"26-5-5, G.S. Raju Road, Vijayawada ",520 003,,,,Charity,NO,0,0
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,KRISHNA,Chinnaoutapalli. ,521286,NA,NA,,Private,YES,16.551655,80.832047
Bethesda Blood Bank,Andhra Pradesh,KRISHNA,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",,098498 33321,,,,NO,16.512971,80.632664
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHNA,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",520002,9849118077,lionsbloodbank@yahoo.com,,Charity,YES,16.510309,80.63251
Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",520002,9394777899,surakshabloodbank@gmail.com,,Charity,YES,16.51343,80.632861
M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHNA,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",520008,8498061158,NA,http://www.aayushhospitals.com,Private,YES,0,0
M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHNA,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",521456,,nimrabloodbank@gmail.com,,Private,YES,0,0
"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",518301,9440503302,drhsivareddy123@gmail.com,,Government,NO,15.632223,77.272837
M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,"First Floor, Government Area Hospital, Adoni, Kurnool
",518301,9440503302,NA,,Charity,NO,15.632223,77.272837
M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,kurnool,518002,9985676311,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,,Government,,15.820654,78.038088
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",518002,9490601960,indianredcrossknl@yahoo.com,,Charity,YES,15.816357,78.040317
M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",518002,,,,Government,,0,0
M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",518002,,,,Charity,,0,0
M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",518004,9966662331,NA,,Private,YES,15.82872,78.035743
District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,"District Hospital, Noonepalli, Nandyal, Kurnool
",518502,9959912781,bbdhnandyal@gmail.com,,Government,NO,15.469336,78.482935
M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,"(Shafa Educational Society) NH-18, Nandyal",518501,,,,,,0,0
Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",518101,,,,,,16.0833,78.8667
M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",523155,9441743892,shaikabdulhafiz@gmail.com,,Government,NO,15.825971,80.36127
Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",523316,9440211131,ahmarkapur@yahoo.com,,Charity,NO,15.736154,79.269125
M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",523001,9000991884,bloodbankrimsongole@gmail.com,http://www.rimsongole.org/hospital.aspx,Government,NO,15.487882,80.047144
Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",523001,9247264635,ircsbbongole@gmail.com,http://www.REDCROSS-prakasam.org,Charity,NO,15.505723,80.049922
M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",523001,"09247023117, 09848999117",ehara.rao0900@gmail.com,,Charity,NO,15.481367,80.05908
M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",523001,9849499988,NA,,Charity,YES,15.481367,80.05908
Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,"Area Hospital Compound, Gudur
",524101,8008553616,ahgudur@yahoo.com,,Government,NO,14.146545,79.848756
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,SPSR NELLORE,"Survey No.1083/3, R.D Office Compound, Kavali.",524201,9849850498,,,Charity,,0,0
M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Area Hospital Compound Kavali,524201,9247708602,,,Government,,0,0
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,"Survey No.1083/3, R.D. Office Compound, Kavali
",524201,9849850498,NA,,Charity,NO,14.913181,79.99298
Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",524003,9347033100,redcross_nlr@yahoo.com,,Charity,YES,14.426777,79.959008
District Headquarters Hospital (Repeated),Andhra Pradesh,SPSR NELLORE,"District Headquarters Hospital, Dargamitta, Nellore",524003,92477088602,dsrbbnlr@gmail.com,,,,14.435424,79.966831
D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,"Government Hospital Compound, Nellore",524002,,,,Government,,0,0
Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,"Narayana Hospital compound, Nellore",524002,NA,NA,,Private,YES,14.442599,79.986456
Gems Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,"Gems Hospital Premises, Ragolu, Srikakulam",532001,9391489207,NA,,Private,NO,18.289087,83.9056
GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",532127,NA,NA,,Private,YES,18.461272,83.658352
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,"RIMS Government Hospital Premises, Balaga, Srikakulam
",532001,9701501018,bbrimssklm@gmail.com,,Government,YES,18.312884,83.887717
Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,SRIKAKULAM,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",532001,NA,secretary.redcrosssklm@gmail.com,http://www.ircssrikakulam.com/,Charity,NO,18.296359,83.894549
District Hospital,Andhra Pradesh,VISAKHAPATNAM,AH- ANAKAPALLI,531001,9848325561,bloodbank.ahakp@gmail.com,,Government,YES,17.689592,82.997733
M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",531001,9491817042,bloodbank.ahakp@gmail.com,,Government,NO,17.686427,83.218576
M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"Ukkunagaram, Steel Plant, Visakhapatnam",530032,"07702917979, 08912888462",NA,,Government,NO,17.662908,83.144127
M/s. INHS Kalyani Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",530005,,,,,NO,0,0
M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",531162,NA,nriims@gmail.com,,Private,YES,17.97256,83.432338
M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,"King George Hospital, Maharanipeta, Visakhapatnam",530002,8912563345,kgh_vsp@ap.nic.in,,Government,YES,17.70667,83.303737
M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"Women & Children Hospital Blood Bank, Visakhapatnam",530001,9059522294,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",,Government,NO,17.686816,83.218482
M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",530002,9848027203,secretaryvspredcross@gmail.com,,Charity,YES,17.686816,83.218482
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,VISAKHAPATNAM,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",530002,9848193503,rotarybloodbankvsp@gmail.com,,Charity,YES,17.686816,83.218482
M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",530002,NA,Jhansilaxmi-a@apollohospital.com,http://www.apollohospital.com,Private,NO,17.717084,83.309208
M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",530002,9848199322,NA,http://www.sevenhillshospital.com,Private,NO,17.71737,83.309268
 A. S. Raja Voluntary Blood Bank,Andhra Pradesh,VISAKHAPATNAM,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,9393963436,asrajavbloodbank@gmail.com,,Charity,YES,17.720274,83.313048
M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,VISAKHAPATNAM,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",530002,9.17723430709393E+020,lionsbloodbankvsp@gmail.com,,Charity,YES,17.719063,83.311286
M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,9032005619,,NA,http://www.ntrtrust.org,Charity,YES,17.691575,83.238891
M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",530045,9985556050,directorgims@gitam.edu,,Private,YES,17.784938,83.374975
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,VISAKHAPATNAM,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
",530048,7675808026,gvphospital@gmail.com,http://www.gvpmc.in,Private,YES,17.689433,83.211615
"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,VIZIANAGARAM,"Area Hospital Premises, First Floor, Belagam, Parvathipuram
",535501,9908842182,NA,,Charity,NO,18.781716,83.426752
District Headquarters Hospital Blood Bank,Andhra Pradesh,VIZIANAGARAM,"District Headquarters Hospital, Cantonment, Vizianagaram ",535003,9440070099,bloodbankdhvzm@gmail.com,,Government,YES,18.110022,83.388433
Indian Red Cross Society Blood Bank,Andhra Pradesh,VIZIANAGARAM,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",535003,8142578999,"secretaryredcrossvizianagaram@gmail.com,",,Charity,NO,18.106658,83.395551
Srinivasa Nursing Home Blood Bank ,Andhra Pradesh,VIZIANAGARAM,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",535002,9390028861,,,Private,NO,0,0
Maharaja Institute of Medical Sciences Blood Bank,Andhra Pradesh,VIZIANAGARAM,"D.No. 31-15, Nellimarla, Vizianagaram",535002,9440043451,,,Private,YES,0,0
ASN Raju Charitable Trust Blood Bank,Andhra Pradesh,WEST GODAVARI,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",534202,9666001234,NA,http://www.asnrajutrust.org,Charity,YES,16.54391,81.516237
Uddaraju Anandaraju Foundation Blood Bank,Andhra Pradesh,WEST GODAVARI,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram",534202,8897888108,anandabloodbank@gmail.com,,Charity,NO,16.543064,81.515731
M/s. Government Headquarters Hospital Blood Bank,Andhra Pradesh,WEST GODAVARI,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",534006,NA,wgbloodbank@gmail.com,,Government,NO,17.006153,81.782132
