Osm id,Name,Hospital Type,Address,state,district,pincode,telephone,Email,website,latitude,Longitude
18,Basavatarakam Indo American Cancer Institute And Research Centre,Private,"Road No 14, Banjara Hills",Andhra Pradesh,Hyderabad,500034,"040 23551235, 040 23552131",info@induscancer.com,www.induscancer.com,17.417406,78.429838
19,Citizens Hospital,Private,"Nallagandla, Serilingampally, Near Aparna Sarova",Andhra Pradesh,Hyderabad,500019,040 67191919,info@citizenshospitals.com,www.citizenshospitals.com,17.470818,78.311157
20,Om Sai Hospitals,Private,"RCI road, Manasani Colony, Plot No.32, Sai Nagar, Balapur",Andhra Pradesh,Hyderabad,500069,"040 20029900, 040 24447444",NA,http://www.omsaihospitals.com,17.313927,78.508758
21,"Care Hospital, Nampally",Private,"Exhibition Grounds Road,NampallyChandra Vihar, Kattel Mandi, Abids",Andhra Pradesh,Hyderabad,500001,040 30417777,info@carehospitals.com,www.carehospitals.com,17.385769,78.474219
22,Medwin Hospital,Private,"100, Raghava Ratna Towers, NampallyMahesh Nagar Colony",Andhra Pradesh,Hyderabad,500001,040 23202902,info@medwinhospitals.org,www.medwinhospital.com,17.393589,78.472011
23,Universal Superspeciality Dental Hospital,Private,"37-90/2, 1st Floor, Sajini Plaza,Defence Colony, Neredmet 'X' Roads,",Andhra Pradesh,Secunderabad,500094,"040 27111100, 040 27111101",praveena_ch@yahoo.com,http://www.universaldentalhospital.com,NA,NA
24,"Universal Superspeciality Dental Hospital, Kondapur",Private,"1-62/1,Sri Tirumala Subhash Complex, Above Sujana Supermarket,Kothaguda X-Roads, Kondapur",Andhra Pradesh,Hyderabad,500084,"040 23004558, 040 23004559",universaldentalh@gmail.com,www.universaldentalhospital.com,17.458157,78.36557
25,Sunshine Heart Institute,Private,"Penderghast Road, Opposite Parsi Dharamsala, Behind Paradise Hotel, Secunderabad",Andhra Pradesh,Hyderabad,500003,"040 43444555, 040 43444555",info@sunshineheartinstitute.com,http://www.sunshineheartinstitute.com,17.446077,78.491617
26,"Centre For Sight, Banjara Hills",Private,"Ashoka Capitol BuildingRoad No 2, Banjara Hills",Andhra Pradesh,Hyderabad,500034,"040 40045500, 040 40042115,040 40042116, 040 40042117,040 40042118, 040 40042119",cfshyd.appointment@centreforsight.net,http://www.centreforsight.net/,17.424917,78.422672
27,"Centre For Sight, Basheerbagh",Private,"9-29/40/2, Rajesh Villa, 1st Floor, Opp.Hyderabad Nursing Home, Basheerbagh",Andhra Pradesh,Hyderabad,500063,040 66364808,hyderabad@newvisionindia.com,http://www.centreforsight.net/,17.406686,78.475985
28,"Centre For Sight, Kadapa",Private,"C/o B. S. Uday Kumar, House No.-1/2310 MIGH Housing Board Colony.Kadapa",Andhra Pradesh,Hyderabad,516004,NA,NA,http://www.centreforsight.net/,NA,NA
29,"Centre For Sight, Kurnool",Private,"H.No. 46/87-56, Woodland compound, Adjacent to Gowri Gopal Hospital, Budhawarpet, Kurnool",Andhra Pradesh,Hyderabad,518003,NA,NA,http://www.centreforsight.net/,NA,NA
30,"Centre For Sight, Rajahmundry",Private,"D.No.17-1-43, A.P. Paper Mills RoadSeethampeta, East Godavari DistrictRajahmundry",Andhra Pradesh,Godavari,533264,0883 2446555,samir@newvisionindia.com,http://www.centreforsight.net/,NA,NA
31,Manipal Super Specialty Hospital,Private,"Soumya Nagar,Tadepalli, Vijayawada ,Guntur Dist,Vijayawada",Andhra Pradesh,Krishna,522501,0866 2498200,NA,NA,16.48445,80.617154
32,VIMHANS Hospital,Private,"V.V. Rao Street, Suryaraopet,Vijayawada",Andhra Pradesh,Krishna,520002,"0866 2432040, 0866 2442174",vimhans@gmail.com,http://www.vimhanshospital.org/,16.513729,80.634729
33,"Centre For Sight, Visakhapatnam",Private,"H No:49-51-6, Santhipuram, Shankar Mattam road,",Andhra Pradesh,Visakhapatnam,530016,NA,NA,http://www.centreforsight.net/,NA,NA
34,District Hospital,Public,"District Hospital, Daporijo,Upper Subansiri",Arunachal Pradesh,Upper Subansiri,791122,03792 223276,NA,NA,27.981357,94.217433
35,Ramakrishna Mission Hospital,Private,"P.O. - R.K. Mission, Itanagar",Arunachal Pradesh,lower Subansiri,791113,"0360 2212761, 0360 2212762,0360 2212263, 0360 2218780",NA,http://rkmh.org/hospital,27.085618,93.609246
36,Tawang Dist Hospital,Public,"Dist Medical officer,Tawang P.O.Tawang",Arunachal Pradesh,Tawang,790104,"03794 223092, 03794 222339",NA,http://wikimapia.org/25721727/District-Hospital-Tawang,27.588928,91.864908
37,Fakhruddin Ali Ahmed Medical College and Hospital,Public,"Barpeta Hospital, Jatigaon, Barpeta Town",Assam,Barpeta,781301,03665 252081,faamc.barpeta2010@gmail.com,www.faamcassam.co.in/,26.323797,90.986643
38,Assam Medical College and Hospital (AMCH),Public,"Assam Medical College, Barbari, Dibrugarh",Assam,Dibrugarh,786002,"0373 2300080, 0373 2300352",principalamch@rediffmail.com,http://www.assammedicalcollege.in/web/,27.48698,94.944221
39,Silchar Medical College and Hospital (SMCH),Public,"Silchar Medical College,Ghungoor, Silchar",Assam,Cachar,788014,"03842 234196,03842 229110",smc-asm@nic.in,www.smcassam.gov.in/,24.77582,92.794819
40,Gauhati Medical College and Hospital (GMCH),Public,"Gauhati Medical College, GMCH ComplexGMCH Rd, BhangagarhGuwahat",Assam,Kamrup,781032,"0361 2134538,0361 2130236, 0361 2134538, 0361 2132751",gmch-asm@nic.in,www.gmchassam.nic.in,26.159855,91.768507
41,Jorhat Medical College And Hospital,Public,"Jorhat Medical College and Hospital ,Konwar Path, BarbhetaP.O. Jorhat",Assam,Jorhat,785001,"0376 2372818, 0376 2370107",adinathsarmah@rediffmail.com jmc-asm@nic.in,www.jmch.org.in,26.741864,94.199064
42,Tezpur Medical College and Hospital,Public,"NH-37A, Tezpur",Assam,Sonitpur,784001,0376 2370107,tezpurmc@gmail.com,http://www.dmeassam.gov.in/,NA,NA
43,Sri Krishna Memorial College and Hospital,Public,P.O. Umanagar,Bihar,Muzaffarpur,842004,NA,NA,NA,24.890532,85.535934
44,Darbhanga Medical College and Hospital,Public,"Laheriasaria, Darbhanga",Bihar,Darbhanga,846003,"06272 233092, 06272 233228",NA,http://darbhangamedicalcollege.in,NA,NA
45,A N Magadh Medical College and Hospital,Public,"Anuragh Narayan Magadh Medical college and Hospital,Sher Ghati Road, Gaya",Bihar,Gaya,823001,"0631 2410339, 0631 4687645",princ_anmmc@rediffmail.com,http://www.anmmc.bih.nic.in/,24.771194,84.960329
46,"All India Institute of Medical Sciences, Patna",Public,"All India Institute of Medical Sciences, Phulwari Sarif",Bihar,Patna,801105,0612 2920182,admin@aiimspatna.org,http://aiimspatna.org/,25.561166,85.041601
47,Patna Medical College and Hospital,Public,Patna Medical College,Bihar,Patna,800004,0612 2300343,NA,http://patnamedicalcollege.com/pmch/,25.620663,85.160332
48,Nalanda Medical College and Hospital,Public,Kankarbagh Main Road,Bihar,Patna,800026,0612 2354871,NA,http://nmchpatna.org/,25.60237,85.19818
49,Indira Gandhi Institute of Medical Sciences,Public,"Bailey Road, Shiekhpura",Bihar,Patna,800014,0612 2297099,NA,http://www.igims.org/,25.611693,85.089623
50,Rajendra Memorial Research Institute of Medical Sciences,Public,"Indian council of research, Department of health research, Agamkuan",Bihar,Patna,800007,"0612 2636651, 0612 2631561",NA,http://www.rmrims.org.in/,25.599827,85.197494
51,Paras HMRI Hospital,Private,"Raza Bazar, Baily Road",Bihar,Patna,800014,0612 2296144,infopatna@parashospitals.com,http://www.parashospitals.com/?page=paras-patna,25.605458,85.082969
52,Ford Hospital,Private,"New Bypass (NH-30) , Khemnichak, PO - New Jaganpura, PS - Ramkrishna Nagar",Bihar,Patna,800027,"0612 3215884, 0612 3215885, 0612 3215886","admin@fordhospital.org , info@fordhospital.org",http://www.fordhospital.org,25.584186,85.162919
53,Kurji Holy Family Hospital,Private,Sadaquat Ashram,Bihar,Patna,800010,"0612 2262540,0612 2264117,0612 2262156",khfhosp@gmail.com,http://www.kurjiholyfamilyhospital.org,25.635766,85.11201
54,Rajeshwar Hospital,Private,"Near Bahadurpur Petrol Pump, Old Bypass Road, Kankarbagh",Bihar,Patna,800020,"0612 6992982, 0612 6992975",nfo@rajeshwarhospital.com,http://www.rajeshwarhospital.com,25.601092,85.16866
55,Jagdish Memorial Hospital,Private,"DS - 2 , Lohiya Nagar, Behind Geological Survey of India, Kankarbagh",Bihar,Patna,800020,"0612 6560001, 0612 6560003","info@jagdishhospital.com , dralok@jagdishhospital.com",http://www.jagdishhospital.com,25.599002,85.157226
56,Sahyog Hospital,Private,"40, Patliputra colony",Bihar,Patna,800013,0612 6584266,"sahyoghospitalpatna@yahoo.com , info@sahyoghospital.com",http://www.sahyoghospital.com,25.628991,85.108359
57,Dr. Ruban Memorial Hospital,Private,"South East Gandhi Maidan, Near IMA Hall",Bihar,Patna,800001,"0612 2320404, 0612 2320446",admin@rubanhospital.com,http://www.rubanhospital.com,25.611659,85.140982
58,Dr. Bimal Hospital and Research Center,Private,"Sheikhpura, Raza Bazar, Baily Road",Bihar,Patna,800014,0612 2295827,dr_bimal_kr@yahoo.co.in,http://www.bimalhospital.com,25.6117,85.089568
59,Ishwar Dayal Memorial Hospital,Private,"N.R. Tower, Khemanichak More, New By - Pass Road, Hanuman Nagar",Bihar,Patna,800020,"0612 2386911, 0612 2386970","nfo@idmhpatna.com , idmhospital@gmail.com",http://www.idmhpatna.com,NA,NA
60,Magadh Hospital,Private,"2B, Rajendra Nagar",Bihar,Patna,800003,"0612 2691515, 0612 2691500, 0612 2690046",admin@magadhhospital.com,http://www.magadhhospital.com,25.60985,85.157958
61,Arvind Hospital,Private,"Near KhudaBaqsh Library, Ashok Rajpath, Makhania Kuan, Lalbagh",Bihar,Patna,800004,0612 2302313,"arvind.hospital.patna@gmail.com , info@arvindhospital.org",http://www.arvindhospital.org,25.618582,85.163798
62,Postgraduate Institute of Medical Education and Research,Public,"Postgraduate Institute of Medical Education and Research, Sector-12",Chandigarh,Chandigarh,160012,"0172 2747587, 0172 2747585, 0172 2747589, 0172 2746018, 0172 2756565",NA,http://pgimer.edu.in/,30.765926,76.77549
63,Government Medical College and Hospital,Public,Sector-32 Chandigarh,Chandigarh,Chandigarh,160030,"0172 2663301, 0172 2665545,0172 2665549",NA,http://gmch.gov.in,30.709286,76.780495
64,"Centre For Sight, Chandigarh",Private,"S.C.O - 809- 810,17G, Sector 22A",Chandigarh,Chandigarh,160022,"0172 5029173, 0172 5029174, 0172 5029175",infochandigarh@centreforsight.net,http://www.centreforsight.net/,30.738712,76.774496
65,Chaitanya Hospital,Private,"Site No. 1 and 2 ,Sector 44-C ,Chandigarh",Chandigarh,Chandigarh,160047,"0172 5088088,0172 2604613",info@chaitanyahospital.org,http://www.chaitanyahospital.org/,30.710426,76.753855
66,Silver Oaks Hospitals,Private,"Phase IX, Sector - 63, SAS Nagar, Mohali",Chandigarh,Chandigarh,160062,0172 2211308,NA,http://www.silveroakshospital.com,30.692254,76.733057
67,Bhilai Nursing Home,Private,"Opp Maurya Talkies, Sirsa Road, Bhilai",Chhattisgarh,Durg,490001,"0788 2356400 , 0788 5030200",NA,NA,21.208905,81.372118
68,Chandulal Chandrakar Hospital,Private,"Nehru Nagar, G E Road, Bhilai",Chhattisgarh,Durg,490023,"0788 2292683 ,0788 2294712",NA,NA,21.200262,81.322654
69,Revival Medical Centre,Private,"C-4, Shivnath Complex Extension, Near Mourya G.E.Road, Bhilai",Chhattisgarh,Durg,490020,"0788 243544, 0788 2435542",NA,NA,21.207384,81.360385
70,Chhattisgarh Institute of Medical Sciences,Public,"Sadar Vallabh Bhai Patel hospital, Bilaspur",Chhattisgarh,Bilaspur,495009,07752 230030,NA,http://cimsbilaspur.ac.in/,22.088628,82.152149
71,Government Medical College,Public,"Government Medical College, NMDC, Jagdalpur",Chhattisgarh,Bastar,494001,"07782 231403, 07782 231506",NA,http://gmcj.in/,NA,NA
72,"AIIMS, Raipur",Public,"All India Institute of Medical Sciences, Raipur Tatibandh, G E Road, Raipur",Chhattisgarh,Raipur,492099,0771 2573777,NA,http://www.aiimsraipur.edu.in/,21.256785,81.57919
73,Pt. J N M Medical College,Public,"Pt.Jawaharlal Nehru Memorial Medical College, Jail Road, Raipur",Chhattisgarh,Raipur,492001,"0771 2525602, 0771 2890001",NA,http://www.ptjnmcraipur.in/,21.250555,81.6398
74,Shri Vinoba Bhave Civil Hospital,Public,"U.T. of Dadra and Nagar Haveli, Silvassa,Shri Vinoba Bhave Civil Hospital",Dadra and Nagar,Dadra and Nagar,396230,0260 2642940,svbch.sil@gmail.com,http://www.vbch.dnh.nic.in/,20.270291,73.006822
75,"Government Hospital, Daman",Public,"Fort Area, Community Health Center, Moti Daman,Daman and Diu",Daman and Diu,Daman,396220,0260 2230470,NA,NA,20.408206,72.832587
76,Atmaram Jog Memorial Hospital,Private,"Duntha road, damandaman union territory",Daman and Diu,Daman,369210,0260 2262190,NA,NA,NA,NA
77,Hansa clinic and hospital,Private,"Main road, Dabhel, Nani damandaman,Daman and Diu",Daman and Diu,Daman,396115,"0260 2242179, 0260 5542179",NA,NA,NA,NA
78,Aastha Ayurvedic Clinic,Private,C10/27 Sector 15 Rohini Delhi (near manav chowk),Delhi,North West Delhi,110086,NA,asthaayurveda@gmail.com,www.asthaayurveda.com,28.733938,77.131976
79,Acharyaashree Bhikshu Hospital,Public,Moti Nagar,Delhi,West Delhi,110015,"011 25423011, 011 25101552, 011 25423514",acharyashreehospital115@gmail.com,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Acharya+Shree+Bhikshu+Hospital/,28.662001,77.140252
80,Action Cancer Hospital,Private,"A - 4, Paschim Vihar",Delhi,West Delhi,110063,011 49222220,info@actioncancerhospital.com,www.actioncancerhospital.com,28.673901,77.111307
81,Aditya Verma Medical Centre,Private,"32 Chitra Vihar, Vikas Marg,Behind Laxmi Nagar",Delhi,East Delhi,110092,"011 22448008 , 011 22043893",avhrc@rediffmail.com,http://adityavarmahospital.com/,28.637585,77.290999
82,AIIMS,Public,"Ansari Nagar, Aurobindo Marg",Delhi,South West delhi,110029,"011 26588500, 011 26588700, 011 26589900",webmaster@aiims.ac.in,www.aiims.edu,28.566678,77.209089
83,Apex City Hospital,Private,"Hanuman Road, D-Block, West Vinod Nagar, Near Mayur Vihar and Parparganj mother dairy, IP Extension",Delhi,East Delhi,110091,"011 22472111, 011 22473111",info@apexphysio.in,www.apexphysio.in,28.619373,77.302082
84,Aruna Asaf Ali Government Hospital,Public,"5, Rajpur Road, Civil Lines",Delhi,North Delhi,110054,"011 23965532, 011 23831524",msaaagh@gmail.com,http://Delhi.gov.in/wps/wcm/connect/DOIT_Aruna/aruna_hospital/home,28.670103,77.217775
85,Ayurveda Kendra,Private,"B - 5/99 and 100 Safdarjung Enclave, Near R.K.Khanna Tennis Stadium",Delhi,South West delhi,110029,"011 26181606, 011 26182022,011 41652897, 011 41652898",Delhi@ayurveda-kendra.com,http://www.ayurveda-kendra.com,28.561031,77.189004
86,Ayushman Hospital,Private,"Plot Number-2, Sector-12, Dwarka",Delhi,South West delhi,110075,"011 42811114 , 011 42811115 , 011 42811116 , 011 42811117,011 42811118",ayushman_msh@yahoo.com,http://www.ayushmanhospital.co.in/index.html,28.596592,77.049286
87,B M Gupta Private Hospital,Private,"H-11/12/14/15, Uttam Naga",Delhi,West Delhi,110059,011 47157777,bMarguptagnh@gmail.com,http://www.bMargnh.com/,28.619424,77.061474
88,Baba Saheb Ambedkar Hospital,Public,"Bhagawan Mahavir MargSector 6, Rohini",Delhi,North Delhi,110085,"011 27055585, 011 27933256",vdhankar@yahoo.co.in,http://Delhi.gov.in/wps/wcm/connect/doit_dbsah/DBSAH/Home/,28.714798,77.113628
89,Babu Jagjivan Ram Memorial Hospital,Public,"E Block,Bhalswa Jahangirpuri",Delhi,North West Delhi,110033,"011 27634636, 011 27636955, 011 27631810, Extension- 308",NA,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Babu+Jagjivan+Ram+Hospital/,28.734927,77.172541
90,Banarasi Dass Chandi Wala Eye Institute,Private,"Chandiwal Estate, MAA Anandmai Marg, Kalkaji",Delhi,South Delhi,110019,"011 49020100, 011 49020133",sbcssts@chandiwalaestate.org,http://www.chandiwalaestate.org/,NA,NA
91,BensupsHospital,Private,"Bensups Avenue, Sector 12, Dwarka",Delhi,South West Delhi,110075,011 45550000,wecare@bensupshospital.com,http://www.bensupshospital.com/,28.592877,77.04423
92,Bhagwan Mahavir Hospital,Public,"H-4,5 , Near pitampura Club,, Pitampura,, Near Keshav Maha Vidhyalaya,Co-operative Group Housing Societies Pitampura, Bhagwan Buddha Housing Corporation Society, Pitampura",Delhi,North West Delhi,110034,"011 27034538, 011 27033947","renuajay@yahoo.com, msbmh-dhs-Delhi@nic.in",http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Bhagwan+Mahavir+Hospital/,28.68842,77.118028
93,Bhagwati Hospital,Private,"1/113, Nr Dreamland School, Desu Road, Mehrauli",Delhi,South West Delhi,110030,"011 26643304, 011 26643305",info@bhagwatihospitalmehrauli.com,www.bhagwatihospitalmehrauli.com,28.524188,77.178874
94,BLK Super Speciality Hospital,Private,Pusa Road,Delhi,Central Delhi,110005,011 30403040,info@blkhospital.com,www.blkhospital.com,28.643629,77.179969
95,"Centre for Sight, Safdarjung Enclave",Private,"B-5/24, Safdarjung Enclave, Opposite Deer Park",Delhi,South West Delhi,110029,"011 45738888, 011 41644000",NA,www.centreforsight.net,28.56012,77.190956
96,Chacha Nehru Bal Chikitsalaya,Public,"Near Petrol Pump, Raja Ram Kohli Marg, Sai Memorial School, Geeta Colony",Delhi,East delhi,110031,"011 22013373, 011 22013374","drshalugUttar Pradeshta@yahoo.co.in, cnbc2003@yahoo.co.in",http://Delhi.gov.in/wps/wcm/connect/DOIT_CNBC/cnbc/home,28.653112,77.268416
97,City Hospital,Private,"B-1 / 1 N.E.A, Pusa Road",Delhi,Central Delhi,110060,011 42255555,info@cityhospitalindia.in,www.cityhospitalindia.in,NA,NA
98,Cosmos Institute of Mental Health and Behavioural Sciences (CIMBS),Private,"35, Defence Enclave, Opposite,Preet Vihar Petrol Pump, Metro Pillar No-88-89, Vikas Marg",Delhi,East Delhi,110092,"011 66226525, 011 22524726",info@cimbs.in,www.cimbs.in,28.64026,77.293123
99,Shri Dadab Dev Mother and Child Hospital,Public,"Nasirpur Near Dabrimore, Janakpuri",Delhi,South West Delhi,110045,"011 25395528, 011 25395536",msddmsc@gmail.com,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Dadadev+Matri+Avum+Shishu+Chikitsalaya/,28.60986,77.082173
100,Deen Dayal Upadhyay Hospital,Public,"Near Ghanta Ghar, Hari Nagar",Delhi,West Delhi,110064,"011 25494402, 011 25494403, 011 25494404, 011 25494405, 011 25494406, 011 2549407,011 25494408, 011 25125700,011 25494264",msdduh@indiatimes.com,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Deen+Dayal+upadhyay+Hospital/,28.628026,77.112409
101,Delhi Heart and Lung Institute,Private,"3 - MM II, Panchkuian Road",Delhi,Central Delhi,110055,011 42999999,info@dhli.in,www.dhli.in,28.641636,77.205219
102,Delhi State Cancer Institution,Public,"8, GTB Hospital Complex, Dilshad Garden, GTB Enclave, Dilshad Garden",Delhi,East Delhi,110095,011 22135700,dsci.Delhi@yahoo.co.in,http://www.dsci.nic.in/home.html,28.686246,77.30906
103,"Delhi State Cancer Institution, Janak Puri",Public,"C-2/B, Janak Puri",Delhi,West Delhi,110058,011 25501111,dsci.Delhi@yahoo.co.in,http://www.dsci.nic.in/home.html,NA,NA
104,Dharamshila Cancer Hospital and Research Centre,Private,"Near New Ashok Nagar Metro Station, Dharamshila Marg, Vasundhara Enclave",Delhi,East Delhi,110096,011 43066353,"contact@dhrc.in,dhrc2012@gmail.com",www.dhrc.in,28.60239,77.314198
105,Dr B R Sur Homoeopathic Medical College and Hospital,Public,"Block H, Nanakpura, Moti Bagh (West)",Delhi,South West delhi,110021,"011 24105298, 011 24105299",NA,http://Delhi.gov.in/wps/wcm/connect/DOIT_HMCH/shmch/home,28.586536,77.16851
106,Dr Shroffs Charity Eye Hospital,Private,"Dr Shroff Charity Eye Hospital. 5027, Kedarnath Road, Near Golcha Cinema Hall, Opp. DAV SchoolDariya Ganj",Delhi,Central Delhi,110002,"011 43524444, 011 43528888",NA,http://www.sceh.net/,28.645721,77.242131
107,Dr. Hedgewar Arogya Sansthan,Public,Karkardooma,Delhi,North East Delhi,110032,"011 22382686, 011 22393155, 011 22393354",msdhas2010@gmail.com,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Dr.Hedgewar+Aarogya+Sansthan/,28.655718,77.293404
108,Dr. N.C. Joshi Hospital,Public,"Joshi Road, Karol Bagh",Delhi,Central Delhi,110005,"011 23611786, 011 23622498, 011 25082282",drncj_hosp@hub.nic.in,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Dr.+N.C+Joshi+Hospital/,28.65235,77.199232
109,Dr.Shroff's Charity Eye Hospital,Private,"105, 'Surya Kiran', 19,Kasturba Gandhi Marg",Delhi,Central Delhi,110001,"011 41510906, 011 41510907, 011 23313383, 011 23326900 , 011 23722014",shroffey@ndf.vsnl.net.in,http://www.shroffeyecentre.com/history.htm,28.627437,77.22238
110,Fortis La Femme,Private,"S-549, Near Don Bosco School, Greater Kailash - II",Delhi,South Delhi,110048,"011 40579400, 011 40579400",NA,http://www.fortishealthcare.com/india/beds_rooms.php?hospital_id=11,28.528962,77.243759
111,G B Pant Hospital,Public,"Delhi Gate, Jawahar Lal Nehru Marg, Asaf Ali Road",Delhi,Central Delhi,110002,"011 23234242,011 23233001,011 23238109, 011 23233945",gbpant@nic.in,http://gbpant.Delhigovt.nic.in/,28.638942,77.235117
112,Guru Gobind Singh Hospital,Public,"27, Raghubir Nagar, Rajouri Garden,",Delhi,West Delhi,110027,"011 25988532, 011 25984549,011 25988548",NA,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Guru+Gobind+Singh+Hospital/,NA,NA
113,Guru Nanak Eye Center,Public,"Near Ram Lila Grounds, Maharaja Ranjit Singh Marg",Delhi,Central Delhi,110002,011 23234612,NA,http://www.gnec.Delhigovt.nic.in/,28.638594,77.232427
114,Guru Teg Bahadur Hospital,Public,"Department of Obstetricsand Gynaecology, Dilshad Garden",Delhi,East Delhi,110095,"011 22586262, 011 22588383, 011 22692222","msgtbh@nic.in, Jpkapoor@rediffmail.com",http://gtbh.Delhigovt.nic.in/,28.684248,77.310052
115,Health Centre Cum Maternity Hospital,Public,Kanti Nagar,Delhi,East Delhi,110051,"011 22099942,011 22097399",mshccmh@gmail.com,http://www.Delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Health+Centre+cum+Maternity+Hospital,NA,NA
116,Hemraj Jain Hospital,Private,"N. H 1, C-1 Block, Janakpuri",Delhi,West Delhi,110058,"011 49111444, 011 49111400, 011 27020748",hemrajjain78@gmail.com,http://www.cygnusmedicare.com/#,28.619658,77.082141
117,Hindu Rao Hospital,Public,"DR. J.S. Kkaranwal Memorial Road, Near Malka Ganj, Sabji Mandi, Malka Ganj",Delhi,North Delhi,110007,"011 23919476, 011 23913562, 011 23919563, 011 23919634, 011 23919625, 011 23919769, 011 23919704, 011 23919761, 011 23919728, 011 23919738, 011 23932390",administration@holyfamilyhospitaldelhi.org,http://www.hinduraohospital.com/,28.675331,77.212327
118,Holy Family Hospital,Private,"Near Fortis Escorts Hospital, Okhla Road",Delhi,South Delhi,110025,"011 26845900, 011 26845909, 011 26332800, 011 26332809",NA,http://hfhDelhi.org/,28.563064,77.275766
